NED_id,class,ra,dec,zdist,D,F1400,F843,Fsyn,Lsyn,Pcav,L151,Ljet,Lcr,Fcr,Rmax
IC 0310,j,49.17918,41.32483,0.0198919717222,84.034108524,541.1,0.0,625.343650068,39.76433425909195,43.598461974927304,39.41936796394593,42.37462123017731,41.830553185827036,8.011817295599155e-13,18.24173257402354
NGC 1275,p,49.95098,41.51168,0.0187818463892,78.6809440545,22829.2,0.0,26383.4693331,41.33237534790398,44.69609073709572,40.987409052757954,43.770177799220015,43.22610975486974,2.2722686469594414e-11,18.939510858544892
2MASX J03203116+4306517,p,50.12991,43.1144,0.0546200127627,236.867698182,483.5,0.0,558.775928309,40.61555368856453,44.19431557555811,40.27058739341851,43.132206522407905,42.58813847805763,5.770531873208375e-13,18.620525220138838
B3 0317+428,j,50.15888,43.07915,0.0538790447821,233.530472713,789.3,0.0,912.185812232,40.816074750377524,44.3346803188272,40.4711084552315,43.31067026742147,42.766602223071196,8.953733250699965e-13,18.70975709264562
2MASX J03204016+2727485,j,50.16736,27.46346,0.0672323798056,294.182134844,437.9,0.0,506.076481916,40.76075306644215,44.295955140072444,40.415786771296126,43.26143396871898,42.71736592436871,5.037584910012283e-13,18.68513894329438
2MASX J03212595+1806093,j,50.35811,18.10266,0.0641016205313,279.865471623,275.4,0.0,318.276919661,40.51600810810137,44.124633669233894,40.171041812955345,43.04361095579569,42.49954291144542,3.3708025634216047e-13,18.57622743683273
Fornax A,j,50.67412,-37.2082,0.00590431690216,20.9002276621,254.7,169000.0,29856.512545,40.91815399234964,44.406135788207685,40.573187697203615,43.40152079277665,42.857452748426375,1.3779699928126825e-10,18.75518235532321
LCRS B032343.1-393755,j,51.39144,-39.45745,0.0648341028311,283.209764533,214.6,0.0,248.010991138,40.41799169419637,44.056022179500395,40.073025399050344,42.95637634742024,42.41230830306996,2.6926561801284133e-13,18.532610132645004
CGCG 416-010,j,51.60463,9.67041,0.038537489996,165.189093437,297.9,0.0,344.279935974,40.092178773460155,43.827953134985044,39.74721247831413,42.66640284796501,42.122334803614734,4.0593931041028827e-13,18.38762338291739
2MASX J03263530+0911052,p,51.64718,9.18472,0.0664702052672,290.691362083,229.5,0.0,265.230766384,40.469792474330504,44.09228272559429,40.12482617918448,43.00247904173962,42.45841099738934,2.8420766672813034e-13,18.555661479804698
UGC 02748,j,51.97586,2.56167,0.0309808408552,132.060930238,5244.2,0.0,6060.66747309,41.143373481148544,44.56378943036692,40.79840718600252,43.60196613780768,43.0578980934574,5.47568472575809e-12,18.855405027838724
UGC 02755,j,52.34954,39.79221,0.0254514554508,108.045923353,1450.9,0.0,1676.79006077,40.410999782026366,44.051127840981394,40.06603348688034,42.95015354558894,42.406085501238664,1.8237183845929514e-12,18.529498731729355
MCG -04-09-020,u,52.83659,-26.10254,0.0695490472584,304.813888797,478.3,0.0,552.766342317,40.82991541495165,44.34436878402909,40.48494911980563,43.32298845889244,42.77892041454216,5.406795662524758e-13,18.715916188381104
NGC 1365,g,53.40191,-36.14066,0.00568378577009,19.6286967064,533.7,641.2,616.791546926,38.49522566262836,42.71008595740279,38.150259367482334,41.245114579324714,40.70104653497444,1.0898146744126166e-12,17.67697924859724
LCRS B033213.0-391035,j,53.51389,-39.01004,0.0640843984339,279.786879571,1557.5,2877.5,2452.87979581,41.40263527573049,44.74527268657428,41.05766898058447,43.832709134985606,43.28864109063533,2.0752740084559917e-12,18.970776526427688
UGC 02783,j,53.57664,39.35676,0.0214995598341,90.9997961895,956.5,0.0,1105.41711567,40.080911344367365,43.82006593462009,39.73594504922134,42.65637483607243,42.112306791722155,1.307118610120335e-12,18.3826093769711
